"","lambda","instability","n_edge"
"1",1e-04,0.266631326709527,1562
"2",0.000114800671612566,0.264069316189363,1559
"3",0.000131791942026962,0.262452133255406,1557
"4",0.000151298034578196,0.259786791350088,1553
"5",0.000173691159832381,0.257678901227352,1548
"6",0.000199398618019228,0.262293512565751,1551
"7",0.000228910952672249,0.259760607831677,1549
"8",0.000262791311062464,0.261053068381064,1546
"9",0.000301686190039175,0.263272822910579,1545
"10",0.000346337772327335,0.259194389246055,1543
"11",0.00039759808867978,0.261796610169492,1543
"12",0.000456445276123113,0.26695300993571,1541
"13",0.000524002242533164,0.267589713617767,1534
"14",0.000601558093692979,0.268864757451783,1533
"15",0.000690592731699287,0.271444652250146,1522
"16",0.000792805094098346,0.27293056691993,1507
"17",0.000910145572603536,0.275662185856224,1503
"18",0.00104485323000089,0.279078784336645,1495
"19",0.00119949852540661,0.282659380479252,1487
"20",0.00137703236314961,0.289201052016365,1461
"21",0.00158084240121814,0.29288731735827,1419
"22",0.00181481769373464,0.298778141437756,1398
"23",0.00208342290095104,0.302129982466394,1395
"24",0.0023917834828218,0.303971946230275,1376
"25",0.00274578350179785,0.313863822326125,1351
"26",0.00315217790109096,0.32066195207481,1311
"27",0.0036187214008753,0.324290707188779,1278
"28",0.00415431647199249,0.328914786674459,1237
"29",0.00476918321075883,0.336234365867913,1184
"30",0.00547505435638487,0.340892226767972,1144
"31",0.00628539917228287,0.347276446522502,1107
"32",0.00721568046331139,0.3483268264173,1048
"33",0.00828364963329817,0.348216715371128,1015
"34",0.00950968541305815,0.346748217416715,908
"35",0.010917182722433,0.342604909409702,848
"36",0.012532999086524,0.331100993571011,772
"37",0.0143879671245263,0.314805143191116,707
"38",0.0165174828903514,0.299539918176505,645
"39",0.0189621812916141,0.279167855055523,581
"40",0.0217687114751653,0.256606545879603,509
"41",0.0249906269748914,0.229501578024547,458
"42",0.0286894076073664,0.207839742840444,410
"43",0.0329356326149231,0.188084511981297,382
"44",0.037810327441779,0.172034248977206,354
"45",0.0434065098420726,0.158378492109877,332
"46",0.0498309648222738,0.148995558153127,315
"47",0.0572062822869918,0.139569374634717,300
"48",0.0656731962700468,0.132808065458796,290
"49",0.0753932703874523,0.123638223261251,266
"50",0.086551980755473,0.117025599064874,235
"51",0.0993622552012617,0.105332670952659,212
"52",0.11406853630044,0.0939831677381648,185
"53",0.130951445771529,0.0802481589713618,154
"54",0.15033313923208,0.0676758620689655,129
"55",0.172583453494681,0.0525946230274693,86
"56",0.198126963704054,0.0360530683810637,44
"57",0.227451084977839,0.0158181180596143,15
"58",0.261115373144627,0.00295756867329047,1
"59",0.299762202053689,0.000136294564582116,0
"60",0.344129021198252,0,0
"61",0.395062427549341,0,0
"62",0.453534320115551,0,0
"63",0.520660445486136,0,0
"64",0.597721688239062,0,0
"65",0.686188512472409,0,0
"66",0.7877490208466,0,0
"67",0.904341166553309,0,0
"68",1.03818973287211,0,0
"69",1.19184878594989,0,0
"70",1.36825041087668,0,0
"71",1.57076066102812,0,0
"72",1.80324378828626,0,0
"73",2.07013597976451,0,0
"74",2.37653000806302,0,0
"75",2.72827241033051,0,0
"76",3.13207505047977,0,0
"77",3.59564319336038,0,0
"78",4.12782253476923,0,0
"79",4.73876799288991,0,0
"80",5.44013748199893,0,0
"81",6.24531436598169,0,0
"82",7.16966283646303,0,0
"83",8.23082108861611,0,0
"84",9.44903788895998,0,0
"85",10.8475589574519,0,0
"86",12.4530705367238,0,0
"87",14.2962086125455,0,0
"88",16.4121435023357,0,0
"89",18.8412509666994,0,0
"90",21.62988264998,0,0
"91",24.8312505511869,0,0
"92",28.5064424025615,0,0
"93",32.7255873309899,0,0
"94",37.5691940451332,0,0
"95",43.1296870832409,0,0
"96",49.5131704359587,0,0
"97",56.8414521971549,0,0
"98",65.2543688766693,0,0
"99",74.9124537269576,0,0
"100",86,0,0
