 	ARID5B	KRAS	CREBBP	EP400	EP300	TP53	FBXW7	MAP3K1	FAT1	RNF43	CACNA1D	CTNNB1	MKI67	SETD2	LRRK2	NSD1	TAF1	ROS1	KMT2B	FAT4	MED12	KMT2C	ATRX	TRRAP	ZFHX3	LRP1B	RNF213	PIK3R1	RANBP2	ARHGAP35	ARID1A	ZMYM2	SMG1	JAK1	CTCF	MGAM	BRCA2	RB1	NF1	KMT2D	PDE4DIP	PCLO	POLE	NCOR2	PIK3CA	INPPL1	ATM	PRKDC	CHD4	APC	FGFR2	MGA	BCOR	BCORL1	NCOR1	TPR	KMT2A	RELN	PTEN
TCGA-D1-A17H	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TCGA-D1-A165	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
TCGA-B5-A0K0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AP-A0LP	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
TCGA-AX-A05W	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
TCGA-BG-A0W1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TCGA-B5-A11X	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
TCGA-AP-A056	1	1	2	4	1	0	2	2	9	0	1	2	3	2	5	4	4	4	1	3	3	8	1	1	5	14	2	2	6	1	2	3	4	0	0	4	2	1	3	1	4	6	4	2	2	1	6	1	1	3	1	2	1	1	2	1	6	7	1
TCGA-AX-A05Y	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
TCGA-BG-A18B	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
