"","prior_a","prior_b","instability","n_edge"
"1",1,30,0.0524781998831093,92
"2",1,40,0.0449749853886616,69
"3",1,70,0.027705902980713,46
"4",1,150,0.00306697837521917,14
"5",1,300,0,0
"6",1,400,0,0
"7",1,60,0.0328499123319696,53
"8",1,80,0.0237303331385155,41
"9",1,90,0.0197911163062537,36
"10",1,110,0.013741203974284,27
"11",1,120,0.0106274693161894,24
"12",1,130,0.0075968439509059,23
"13",1,140,0.00503985973115137,17
"14",1,10,0.16815967270602,234
"15",1,20,0.0659960257159556,125
"16",1,50,0.0389112799532437,63
"17",1,100,0.0163422559906487,31
"18",1,200,4.55873758036236e-05,0
"19",1,500,0,0
